id,title,url,web_archive_id,first_keywords_auto,last_keywords_auto,first_summary_auto,last_summary_auto,first_date_parsed,last_date_parsed,alive,type1,type2,keywords_processed,group
1743,Glasgow Times : Here's what Glasgow council and charity bosses want you to do for the elderly during coronavirus crisis,http://www.glasgowtimes.co.uk/news/18304306.glasgow-council-charity-bosses-want-elderly-coronavirus-crisis/,107837,"people, older, group, support, Glasgow, care, vulnerable, home","people, older, group, support, Glasgow, care, vulnerable, home","But older people are at greater risk of becoming seriously unwell if they contract the virus and, understandably, there is more concern for their welfare.","But older people are at greater risk of becoming seriously unwell if they contract the virus and, understandably, there is more concern for their welfare.",2020-06-11,2020-06-19,no,News,CORONAVIRUS,"people,older,group,support,glasgow,care,vulnerable,home",Media
1746,Glasgow Times : Teaching cancelled: Glasgow University follows Glasgow Caledonian University amid coronavirus concerns,http://www.glasgowtimes.co.uk/news/18304755.coronavirus-university-glasgow-follows-glasgow-caledonian-university-shuts-campus/,107840,"University, March, Monday, Glasgow, teaching, READ, coronavirus, GCU","University, March, Monday, Glasgow, teaching, READ, coronavirus, GCU",Face-to-face teaching has been suspended at Glasgow University due to coronavirus concerns.,Face-to-face teaching has been suspended at Glasgow University due to coronavirus concerns.,2020-03-15,2020-06-17,no,News,CORONAVIRUS,"university,march,monday,glasgow,teaching,read,coronavirus,gcu",Media
1747,Glasgow Times : Flight from Glasgow Airport to Spain turns around mid-flight with others cancelled,http://www.glasgowtimes.co.uk/news/18305049.flight-glasgow-airport-spain-turns-around-mid-flight-others-cancelled/,107842,"Spain, Glasgow, Islands, Saturday, flights, customers, Airport, Balearic","Spain, Glasgow, Islands, Saturday, flights, customers, Airport, Balearic",READ MORE: Super hospital staff calls for ban on visitors Seven other Jet2 flights from the UK were seen turning around mid-flight this morning.,READ MORE: Super hospital staff calls for ban on visitors Seven other Jet2 flights from the UK were seen turning around mid-flight this morning.,2020-03-15,2020-03-15,no,News,CORONAVIRUS,"spain,glasgow,islands,saturday,flights,customers,airport,balearic",Media
1749,Glasgow Times : Glasgow swingers club CJ's promises to continue parties despite COVID-19 fears,http://www.glasgowtimes.co.uk/news/18305445.glasgow-swingers-club-cjs-promises-continue-parties-despite-covid-19-fears/,107844,"Glasgow, coronavirus, READ, parties, adult, nightclub, vowed, continue","Glasgow, coronavirus, READ, parties, adult, nightclub, vowed, continue",READ MORE: Live updates as three people test positive for COVID-19 at Glasgow University They say events scheduled this weekend and throughout next week will go ahead.,READ MORE: Live updates as three people test positive for COVID-19 at Glasgow University They say events scheduled this weekend and throughout next week will go ahead.,2020-03-15,2021-11-28,no,News,CORONAVIRUS,"glasgow,coronavirus,read,parties,adult,nightclub,vowed,continue",Media
1750,Glasgow Times : Coronavirus: Buchanan Street Apple store closes in global shutdown,http://www.glasgowtimes.co.uk/news/18305580.coronavirus-buchanan-street-apple-stores-closes-global-shutdown/,107845,"Apple, stores, closed, CEO, Buchanan, Street, Tim, March","Apple, stores, closed, CEO, Buchanan, Street, Tim, March","""Apple will be temporarily closing all stores outside of Greater Chine until March 27 and committing $15m to help with worldwide recovery.""","""Apple will be temporarily closing all stores outside of Greater Chine until March 27 and committing $15m to help with worldwide recovery.""",2020-03-15,2020-07-26,no,News,CORONAVIRUS,"apple,stores,closed,ceo,buchanan,street,tim,march",Media
1751,Glasgow Times : Coronavirus alert at Sheriff Court after Glasgow lawyer takes ill,http://www.glasgowtimes.co.uk/news/18305861.coronavirus-alert-greenock-sheriff-court-lawyer-takes-ill/,107846,"Court, Sheriff, Courts, CORONAVIRUS, Glasgow, Greenock, lawyer, SCTS","Court, Sheriff, Courts, CORONAVIRUS, Glasgow, Greenock, lawyer, SCTS","One volunteer said: ""You can't be too careful the way things are just now.""","One volunteer said: ""You can't be too careful the way things are just now.""",2020-03-16,2020-03-16,no,News,CORONAVIRUS,"court,sheriff,courts,coronavirus,glasgow,greenock,lawyer,scts",Media
1752,Glasgow Times : Coronavirus in Scotland: All Scottish schools could close from end of Easter break,http://www.glasgowtimes.co.uk/news/18305879.coronavirus-scotland-scottish-schools-close-end-easter-break/,107847,"schools, Scotland, school, April, union, Scottish, trade, virus","schools, Scotland, school, April, union, Scottish, trade, virus","Flanagan said guidance is due to be published by the Scottish Negotiating Committee for Teachers (SNCT) – a body made up of trade union, local government and Scottish Government officials, detailing what plans would be put in place over the coming weeks.","Flanagan said guidance is due to be published by the Scottish Negotiating Committee for Teachers (SNCT) – a body made up of trade union, local government and Scottish Government officials, detailing what plans would be put in place over the coming weeks.",2020-03-17,2020-03-21,no,News,CORONAVIRUS,"schools,scotland,school,april,union,scottish,trade,virus",Media
1754,Glasgow Times : Coronavirus: Keppoch Medical Practice staff member tests positive for disease,http://www.glasgowtimes.co.uk/news/18306125.coronavirus-keppoch-medical-practice-staff-member-tests-positive-disease/,107849,"practice, medical, Glasgow-based, coronavirus, READ, positive, Tuesday, member","practice, medical, Glasgow-based, coronavirus, READ, positive, Tuesday, member","READ MORE: Coronavirus alert at Sheriff Court after Glasgow lawyer takes ill The Saracen Street medical practice added on their Facebook page: ""Anyone who has been in direct contact with this staff member will be contacted individually.","READ MORE: Coronavirus alert at Sheriff Court after Glasgow lawyer takes ill The Saracen Street medical practice added on their Facebook page: ""Anyone who has been in direct contact with this staff member will be contacted individually.",2020-03-16,2020-03-19,no,News,CORONAVIRUS,"practice,medical,glasgow-based,coronavirus,read,positive,tuesday,member",Media
1755,Glasgow Times : Glasgow Kiltwalk 2020 postponed due to coronavirus pandemic,http://www.glasgowtimes.co.uk/news/18306135.glasgow-kiltwalk-2020-postponed-due-coronavirus-pandemic/,107850,"Glasgow, Kiltwalk, participants, coronavirus, Scottish, READ, safety, event","Glasgow, Kiltwalk, participants, coronavirus, Scottish, READ, safety, event","Other Kiltwalk events due to take place in Dundee, Aberdeen, and Edinburgh later this year are proceeding as planned.","Other Kiltwalk events due to take place in Dundee, Aberdeen, and Edinburgh later this year are proceeding as planned.",2020-03-16,2020-03-16,no,News,CORONAVIRUS,"glasgow,kiltwalk,participants,coronavirus,scottish,read,safety,event",Media
1756,Glasgow Times : Coronavirus: University of Strathclyde suspends face-to-face teaching,http://www.glasgowtimes.co.uk/news/18306185.coronavirus-university-strathclyde-suspends-face-to-face-teaching/,107851,"University, Strathclyde, Glasgow, READ, teaching, positive, place, students","University, Strathclyde, Glasgow, READ, teaching, positive, place, students",The University of Glasgow announced on Saturday teaching will transition to online before confirming three people tested positive for COVID-19.,The University of Glasgow announced on Saturday teaching will transition to online before confirming three people tested positive for COVID-19.,2020-03-16,2020-03-16,no,News,CORONAVIRUS,"university,strathclyde,glasgow,read,teaching,positive,place,students",Media
